GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF2LE001,AF2UE001,AF2UE002,AF2UE003,AF2UE004,AF2UE005,AF2UE006,AF2UE007,AF2UE008,AF2UE009,AF2UE010,AF2UE011,AF2UE012,AF2UE013,AF2UE014,AF2UE015,AF2UE016,AF2UE017,AF2UE018,AF2UE019,AF2UE020,AF2UE021,AF43E001,AF43E002,AF43E003,AF43E004,AF43E005,AF43E006,AF43E007,AF43E008,NAME_M,AF2LM001,AF2UM001,AF2UM002,AF2UM003,AF2UM004,AF2UM005,AF2UM006,AF2UM007,AF2UM008,AF2UM009,AF2UM010,AF2UM011,AF2UM012,AF2UM013,AF2UM014,AF2UM015,AF2UM016,AF2UM017,AF2UM018,AF2UM019,AF2UM020,AF2UM021,AF43M001,AF43M002,AF43M003,AF43M004,AF43M005,AF43M006,AF43M007,AF43M008
"G09000100101011","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010101","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",827,827,827,778,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,21,16,0,19,12,0,759,"Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",291,291,291,277,12,12,79,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,291,23,24,12,32,20,12,301
"G09000100101012","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010101","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",642,642,619,585,0,0,34,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,642,26,21,0,19,0,0,576,"Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",126,126,129,128,12,12,39,12,12,12,12,12,37,37,12,12,12,12,12,12,12,12,126,42,32,12,30,12,12,130
"G09000100101013","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010101","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",1291,1291,1196,997,21,10,80,0,0,88,1,87,95,94,0,0,0,0,1,0,0,0,1264,87,96,1,49,0,11,1020,"Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",292,292,282,241,31,15,62,12,12,113,3,112,103,103,12,12,12,12,2,12,12,12,276,59,104,2,79,12,17,231
"G09000100101014","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010101","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",1372,1372,1301,1173,25,11,92,0,0,0,0,0,71,58,0,0,0,0,13,0,0,0,1104,108,50,3,19,35,0,889,"Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",309,309,305,291,24,18,75,12,12,12,12,12,61,56,12,12,12,12,22,12,12,12,291,94,78,7,30,55,12,268
"G09000100101021","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010102","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",1305,1305,1216,1111,0,0,105,0,0,0,0,0,89,81,0,0,0,0,0,8,0,8,1305,88,0,40,0,0,91,1086,"Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",260,260,258,241,12,12,98,12,12,12,12,12,93,92,12,12,12,12,12,13,12,13,260,90,12,59,12,12,132,257
"G09000100101022","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010102","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",1692,1692,1665,1424,72,9,135,0,0,25,0,25,27,27,0,0,0,0,0,0,0,0,1676,67,45,0,65,19,0,1480,"Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",263,263,260,287,108,13,89,12,12,40,12,40,44,44,12,12,12,12,12,12,12,12,261,83,72,12,95,21,12,270
"G09000100101023","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010102","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",1177,1177,1153,983,27,0,143,0,0,0,0,0,24,22,0,0,0,0,2,0,0,0,1176,65,72,1,2,22,0,1014,"Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",263,263,261,252,31,12,128,12,12,12,12,12,23,22,12,12,12,12,6,12,12,12,263,64,59,4,4,24,12,259
"G09000100102011","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010201","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 102.01, Fairfield County, Connecticut",1082,1082,972,874,15,0,76,0,0,7,0,7,110,15,12,0,0,0,44,39,0,39,1082,25,13,0,27,0,0,1017,"Block Group 1, Census Tract 102.01, Fairfield County, Connecticut",245,245,247,229,23,12,93,12,12,11,12,11,104,22,18,12,12,12,69,57,12,57,245,41,20,12,43,12,12,248
"G09000100102012","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010201","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",961,961,868,806,23,0,28,0,0,11,0,11,93,80,0,0,0,0,13,0,0,0,948,30,37,20,0,7,0,854,"Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",176,176,174,171,38,12,36,12,12,16,12,16,67,67,12,12,12,12,30,12,12,12,185,40,49,32,12,11,12,177
"G09000100102013","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010201","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",1234,1234,1126,1036,10,0,80,0,0,0,0,0,108,73,0,0,35,0,0,0,0,0,1053,43,36,0,7,0,0,967,"Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",260,260,269,269,14,12,63,12,12,12,12,12,93,67,12,12,53,12,12,12,12,12,231,69,59,12,11,12,12,235
"G09000100102021","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010202","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 102.02, Fairfield County, Connecticut",1127,1127,985,902,10,0,63,0,0,10,0,10,142,142,0,0,0,0,0,0,0,0,1127,0,53,0,0,0,0,1074,"Block Group 1, Census Tract 102.02, Fairfield County, Connecticut",235,235,207,198,17,12,68,12,12,16,12,16,162,162,12,12,12,12,12,12,12,12,235,12,69,12,12,12,12,247
"G09000100102022","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010202","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 102.02, Fairfield County, Connecticut",2098,2098,1799,1443,14,0,289,0,0,53,0,53,299,202,0,0,0,0,47,50,0,50,2098,23,8,12,62,25,40,1928,"Block Group 2, Census Tract 102.02, Fairfield County, Connecticut",286,286,257,235,21,12,143,12,12,54,12,54,139,133,12,12,12,12,71,55,12,55,286,25,12,15,68,28,62,276
"G09000100102023","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010202","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 102.02, Fairfield County, Connecticut",1569,1569,1435,1226,0,0,199,0,10,0,0,0,134,134,0,0,0,0,0,0,0,0,1569,21,8,12,0,27,0,1501,"Block Group 3, Census Tract 102.02, Fairfield County, Connecticut",264,264,226,239,12,12,112,12,17,12,12,12,198,198,12,12,12,12,12,12,12,12,264,25,13,19,12,30,12,269
"G09000100102024","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010202","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 102.02, Fairfield County, Connecticut",752,752,713,528,0,0,133,0,0,52,0,52,39,39,0,0,0,0,0,0,0,0,752,32,4,3,0,0,0,713,"Block Group 4, Census Tract 102.02, Fairfield County, Connecticut",177,177,171,138,12,12,119,12,12,61,12,61,50,50,12,12,12,12,12,12,12,12,177,50,9,9,12,12,12,179
"G09000100103001","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010300","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 103, Fairfield County, Connecticut",767,767,673,655,0,0,18,0,0,0,0,0,94,94,0,0,0,0,0,0,0,0,767,58,0,0,0,68,0,641,"Block Group 1, Census Tract 103, Fairfield County, Connecticut",197,197,174,179,12,12,28,12,12,12,12,12,88,88,12,12,12,12,12,12,12,12,197,81,12,12,12,101,12,207
"G09000100103002","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010300","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 103, Fairfield County, Connecticut",1121,1121,1023,994,9,0,9,0,0,11,11,0,98,70,0,0,0,0,0,28,0,28,1121,0,22,0,9,0,32,1058,"Block Group 2, Census Tract 103, Fairfield County, Connecticut",230,230,226,229,14,12,14,12,12,16,16,12,109,94,12,12,12,12,12,44,12,44,230,12,28,12,14,12,51,240
"G09000100103003","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010300","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 103, Fairfield County, Connecticut",545,545,503,367,0,0,129,0,0,7,0,7,42,42,0,0,0,0,0,0,0,0,545,0,8,0,0,0,0,537,"Block Group 3, Census Tract 103, Fairfield County, Connecticut",197,197,190,117,12,12,178,12,12,12,12,12,53,53,12,12,12,12,12,12,12,12,197,12,12,12,12,12,12,198
"G09000100103004","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010300","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 103, Fairfield County, Connecticut",779,779,721,695,26,0,0,0,0,0,0,0,58,58,0,0,0,0,0,0,0,0,765,50,0,0,9,0,0,706,"Block Group 4, Census Tract 103, Fairfield County, Connecticut",186,186,183,183,41,12,12,12,12,12,12,12,47,47,12,12,12,12,12,12,12,12,187,41,12,12,14,12,12,188
"G09000100103005","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010300","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 103, Fairfield County, Connecticut",837,837,831,780,13,0,38,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,837,8,0,0,37,17,0,775,"Block Group 5, Census Tract 103, Fairfield County, Connecticut",166,166,167,174,21,12,32,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,166,13,12,12,37,26,12,166
"G09000100104001","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010400","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 104, Fairfield County, Connecticut",896,896,892,662,9,0,69,0,112,40,15,25,4,0,0,0,0,0,4,0,0,0,896,82,37,4,3,28,0,742,"Block Group 1, Census Tract 104, Fairfield County, Connecticut",294,294,295,183,16,12,106,12,141,44,24,39,10,12,12,12,12,12,10,12,12,12,294,105,40,10,6,32,12,294
"G09000100104002","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010400","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 104, Fairfield County, Connecticut",902,902,868,838,0,0,30,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,902,0,0,0,26,0,0,876,"Block Group 2, Census Tract 104, Fairfield County, Connecticut",257,257,261,262,12,12,42,12,12,12,12,12,56,56,12,12,12,12,12,12,12,12,257,12,12,12,31,12,12,261
"G09000100104003","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010400","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 104, Fairfield County, Connecticut",1454,1454,1347,922,343,0,0,0,0,82,0,82,107,95,0,0,0,0,12,0,0,0,1454,0,54,0,0,52,58,1290,"Block Group 3, Census Tract 104, Fairfield County, Connecticut",457,457,449,361,340,12,12,12,12,79,12,79,117,117,12,12,12,12,19,12,12,12,457,12,89,12,12,82,65,476
"G09000100104004","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010400","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 104, Fairfield County, Connecticut",1317,1317,1104,1096,0,8,0,0,0,0,0,0,213,164,32,0,0,0,0,17,0,17,1317,42,44,0,0,68,0,1163,"Block Group 4, Census Tract 104, Fairfield County, Connecticut",343,343,328,323,12,20,12,12,12,12,12,12,131,97,54,12,12,12,12,27,12,27,343,47,67,12,12,88,12,344
"G09000100104005","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010400","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 104, Fairfield County, Connecticut",801,801,748,748,0,0,0,0,0,0,0,0,53,0,0,0,0,0,53,0,0,0,801,0,0,18,0,13,0,770,"Block Group 5, Census Tract 104, Fairfield County, Connecticut",343,343,353,353,12,12,12,12,12,12,12,12,85,12,12,12,12,12,85,12,12,12,343,12,12,29,12,21,12,344
"G09000100104006","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010400","6",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 104, Fairfield County, Connecticut",477,477,477,335,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,50,0,0,0,0,0,427,"Block Group 6, Census Tract 104, Fairfield County, Connecticut",199,199,199,155,12,12,93,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,199,81,12,12,12,12,12,198
"G09000100105001","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010500","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 105, Fairfield County, Connecticut",1163,1163,1097,462,174,0,433,0,0,28,0,28,66,66,0,0,0,0,0,0,0,0,1163,51,15,10,70,236,69,712,"Block Group 1, Census Tract 105, Fairfield County, Connecticut",407,407,398,195,191,12,378,12,12,44,12,44,86,86,12,12,12,12,12,12,12,12,407,47,23,18,80,240,102,369
"G09000100105002","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010500","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 105, Fairfield County, Connecticut",447,447,206,84,14,0,72,0,36,0,0,0,241,207,34,0,0,0,0,0,0,0,447,0,175,27,66,20,0,159,"Block Group 2, Census Tract 105, Fairfield County, Connecticut",272,272,147,93,22,12,86,12,40,12,12,12,243,235,52,12,12,12,12,12,12,12,272,12,233,43,83,31,12,125
"G09000100105003","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010500","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 105, Fairfield County, Connecticut",812,812,716,524,101,0,36,0,0,55,0,55,96,76,0,0,0,0,0,20,20,0,812,69,0,0,41,32,0,670,"Block Group 3, Census Tract 105, Fairfield County, Connecticut",257,257,238,213,88,12,41,12,12,88,12,88,99,95,12,12,12,12,12,33,33,12,257,112,12,12,49,53,12,234
"G09000100105004","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010500","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 105, Fairfield County, Connecticut",1291,1291,797,575,70,0,120,0,32,0,0,0,494,479,0,0,0,0,0,15,0,15,1291,0,11,23,13,153,156,935,"Block Group 4, Census Tract 105, Fairfield County, Connecticut",492,492,338,359,67,12,140,12,54,12,12,12,395,396,12,12,12,12,12,23,12,23,492,12,18,39,21,156,253,390
"G09000100105005","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010500","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 105, Fairfield County, Connecticut",621,621,546,482,64,0,0,0,0,0,0,0,75,14,0,0,0,0,61,0,0,0,621,0,0,0,0,0,0,621,"Block Group 5, Census Tract 105, Fairfield County, Connecticut",329,329,329,311,101,12,12,12,12,12,12,12,84,23,12,12,12,12,80,12,12,12,329,12,12,12,12,12,12,329
"G09000100105006","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010500","6",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 105, Fairfield County, Connecticut",1716,1716,1455,1329,0,0,23,0,0,103,41,62,261,261,0,0,0,0,0,0,0,0,1716,42,120,49,56,93,0,1356,"Block Group 6, Census Tract 105, Fairfield County, Connecticut",398,398,343,333,12,12,38,12,12,87,65,90,195,195,12,12,12,12,12,12,12,12,398,40,149,71,66,89,12,408
"G09000100106001","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010600","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 106, Fairfield County, Connecticut",583,583,477,446,0,0,31,0,0,0,0,0,106,87,19,0,0,0,0,0,0,0,583,48,15,0,12,51,0,457,"Block Group 1, Census Tract 106, Fairfield County, Connecticut",177,177,173,174,12,12,34,12,12,12,12,12,67,61,30,12,12,12,12,12,12,12,177,58,17,12,20,48,12,175
"G09000100106002","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010600","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 106, Fairfield County, Connecticut",535,535,525,314,103,0,108,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,530,21,0,0,0,16,0,493,"Block Group 2, Census Tract 106, Fairfield County, Connecticut",210,210,209,126,163,12,84,12,12,12,12,12,15,15,12,12,12,12,12,12,12,12,210,29,12,12,12,25,12,208
"G09000100106003","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010600","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 106, Fairfield County, Connecticut",582,582,547,466,6,0,75,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,582,22,25,17,10,0,0,508,"Block Group 3, Census Tract 106, Fairfield County, Connecticut",143,143,141,132,11,12,50,12,12,12,12,12,30,30,12,12,12,12,12,12,12,12,143,24,23,20,15,12,12,140
"G09000100107001","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010700","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 107, Fairfield County, Connecticut",712,712,576,523,0,0,53,0,0,0,0,0,136,136,0,0,0,0,0,0,0,0,712,8,8,0,27,0,0,669,"Block Group 1, Census Tract 107, Fairfield County, Connecticut",279,279,241,226,12,12,64,12,12,12,12,12,185,185,12,12,12,12,12,12,12,12,279,12,12,12,45,12,12,277
"G09000100107002","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010700","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 107, Fairfield County, Connecticut",836,836,667,589,14,0,55,0,0,9,0,9,169,116,0,0,0,0,0,53,0,53,836,89,34,6,36,88,7,576,"Block Group 2, Census Tract 107, Fairfield County, Connecticut",190,190,177,167,18,12,72,12,12,16,12,16,91,99,12,12,12,12,12,52,12,52,190,83,44,13,30,77,12,193
"G09000100107003","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010700","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 107, Fairfield County, Connecticut",1300,1300,1146,932,133,0,81,0,0,0,0,0,154,120,0,0,0,0,34,0,0,0,1300,83,121,56,254,141,9,636,"Block Group 3, Census Tract 107, Fairfield County, Connecticut",333,333,344,352,124,12,50,12,12,12,12,12,106,94,12,12,12,12,53,12,12,12,333,91,77,42,227,213,15,235
"G09000100107004","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010700","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 107, Fairfield County, Connecticut",882,882,864,841,7,0,16,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,882,7,15,7,6,21,22,804,"Block Group 4, Census Tract 107, Fairfield County, Connecticut",327,327,331,332,10,12,19,12,12,12,12,12,20,20,12,12,12,12,12,12,12,12,327,13,17,13,10,24,26,329
"G09000100108001","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010800","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 108, Fairfield County, Connecticut",453,453,431,299,0,0,109,0,0,23,0,23,22,20,0,0,0,0,0,2,0,2,453,2,45,31,0,0,0,375,"Block Group 1, Census Tract 108, Fairfield County, Connecticut",148,148,145,89,12,12,128,12,12,38,12,38,32,31,12,12,12,12,12,7,12,7,148,7,69,49,12,12,12,95
"G09000100108002","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010800","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 108, Fairfield County, Connecticut",1494,1494,1234,1017,9,9,147,0,29,23,0,23,260,245,1,0,0,0,14,0,0,0,1478,33,64,0,0,63,57,1261,"Block Group 2, Census Tract 108, Fairfield County, Connecticut",250,250,239,193,15,14,124,12,46,29,12,29,218,217,2,12,12,12,20,12,12,12,246,29,102,12,12,69,87,248
"G09000100108003","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010800","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 108, Fairfield County, Connecticut",831,831,783,679,10,0,61,0,11,22,0,22,48,48,0,0,0,0,0,0,0,0,831,11,0,0,8,0,0,812,"Block Group 3, Census Tract 108, Fairfield County, Connecticut",157,157,164,153,15,12,55,12,18,34,12,34,65,65,12,12,12,12,12,12,12,12,157,18,12,12,14,12,12,157
"G09000100108004","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010800","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 108, Fairfield County, Connecticut",598,598,598,542,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,11,13,0,8,119,9,438,"Block Group 4, Census Tract 108, Fairfield County, Connecticut",196,196,196,152,95,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,196,14,16,12,13,127,14,133
"G09000100109001","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010900","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 109, Fairfield County, Connecticut",1504,1504,1242,908,0,0,293,0,0,41,0,41,262,234,0,0,0,0,28,0,0,0,1504,2,69,9,31,130,0,1263,"Block Group 1, Census Tract 109, Fairfield County, Connecticut",324,324,244,198,12,12,144,12,12,47,12,47,270,268,12,12,12,12,51,12,12,12,324,5,59,14,46,131,12,292
"G09000100109002","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010900","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 109, Fairfield County, Connecticut",1772,1772,1293,986,84,0,179,0,0,44,0,44,479,367,0,0,0,0,90,22,22,0,1772,31,158,23,0,65,0,1495,"Block Group 2, Census Tract 109, Fairfield County, Connecticut",371,371,295,253,129,12,108,12,12,51,12,51,259,269,12,12,12,12,92,34,34,12,371,29,120,36,12,58,12,322
"G09000100109003","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010900","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 109, Fairfield County, Connecticut",1035,1035,890,777,0,0,113,0,0,0,0,0,145,145,0,0,0,0,0,0,0,0,1035,8,16,32,9,0,0,970,"Block Group 3, Census Tract 109, Fairfield County, Connecticut",257,257,219,215,12,12,89,12,12,12,12,12,168,168,12,12,12,12,12,12,12,12,257,12,27,35,13,12,12,261
"G09000100109004","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010900","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 109, Fairfield County, Connecticut",1036,1036,938,737,14,0,92,0,0,95,0,95,98,89,0,0,0,0,9,0,0,0,1036,51,9,0,0,0,0,976,"Block Group 4, Census Tract 109, Fairfield County, Connecticut",200,200,193,140,21,12,84,12,12,105,12,105,100,99,12,12,12,12,15,12,12,12,200,54,13,12,12,12,12,191
"G09000100110001","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"011000","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 110, Fairfield County, Connecticut",815,815,710,490,26,0,158,0,0,36,0,36,105,105,0,0,0,0,0,0,0,0,815,18,0,10,0,0,42,745,"Block Group 1, Census Tract 110, Fairfield County, Connecticut",158,158,156,129,29,12,103,12,12,36,12,36,99,99,12,12,12,12,12,12,12,12,158,19,12,16,12,12,65,162
"G09000100110002","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"011000","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 110, Fairfield County, Connecticut",2271,2271,2148,1995,2,0,151,0,0,0,0,0,123,115,0,0,0,0,0,8,8,0,2262,71,14,33,11,63,0,2070,"Block Group 2, Census Tract 110, Fairfield County, Connecticut",349,349,350,365,4,12,123,12,12,12,12,12,101,100,12,12,12,12,12,13,13,12,346,67,20,53,12,96,12,376
"G09000100110003","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"011000","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 110, Fairfield County, Connecticut",801,801,714,685,0,0,0,0,0,29,0,29,87,87,0,0,0,0,0,0,0,0,801,0,14,18,0,0,0,769,"Block Group 3, Census Tract 110, Fairfield County, Connecticut",176,176,154,159,12,12,12,12,12,47,12,47,92,92,12,12,12,12,12,12,12,12,176,12,21,27,12,12,12,171
"G09000100110004","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"011000","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 110, Fairfield County, Connecticut",707,707,664,581,0,0,32,0,0,51,0,51,43,43,0,0,0,0,0,0,0,0,707,37,80,0,40,0,0,550,"Block Group 4, Census Tract 110, Fairfield County, Connecticut",231,231,226,199,12,12,39,12,12,52,12,52,45,45,12,12,12,12,12,12,12,12,231,59,124,12,62,12,12,212
"G09000100110005","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"011000","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 110, Fairfield County, Connecticut",902,902,824,667,0,0,60,0,34,63,0,63,78,78,0,0,0,0,0,0,0,0,902,14,0,0,0,0,0,888,"Block Group 5, Census Tract 110, Fairfield County, Connecticut",222,222,168,155,12,12,42,12,52,70,12,70,112,112,12,12,12,12,12,12,12,12,222,25,12,12,12,12,12,232
"G09000100111001","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"011100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 111, Fairfield County, Connecticut",1406,1406,1304,1247,0,0,51,0,6,0,0,0,102,102,0,0,0,0,0,0,0,0,1406,0,6,0,0,0,0,1400,"Block Group 1, Census Tract 111, Fairfield County, Connecticut",219,219,209,212,12,12,56,12,10,12,12,12,80,80,12,12,12,12,12,12,12,12,219,12,9,12,12,12,12,218
"G09000100111002","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"011100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 111, Fairfield County, Connecticut",1031,1031,978,828,42,0,81,0,0,27,0,27,53,53,0,0,0,0,0,0,0,0,1031,10,0,0,0,40,0,981,"Block Group 2, Census Tract 111, Fairfield County, Connecticut",265,265,259,212,47,12,92,12,12,41,12,41,73,73,12,12,12,12,12,12,12,12,265,15,12,12,12,51,12,249
