GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF2LE001,AF2UE001,AF2UE002,AF2UE003,AF2UE004,AF2UE005,AF2UE006,AF2UE007,AF2UE008,AF2UE009,AF2UE010,AF2UE011,AF2UE012,AF2UE013,AF2UE014,AF2UE015,AF2UE016,AF2UE017,AF2UE018,AF2UE019,AF2UE020,AF2UE021,AF43E001,AF43E002,AF43E003,AF43E004,AF43E005,AF43E006,AF43E007,AF43E008,NAME_M,AF2LM001,AF2UM001,AF2UM002,AF2UM003,AF2UM004,AF2UM005,AF2UM006,AF2UM007,AF2UM008,AF2UM009,AF2UM010,AF2UM011,AF2UM012,AF2UM013,AF2UM014,AF2UM015,AF2UM016,AF2UM017,AF2UM018,AF2UM019,AF2UM020,AF2UM021,AF43M001,AF43M002,AF43M003,AF43M004,AF43M005,AF43M006,AF43M007,AF43M008
"G09000305242003","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524200","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 5242, Hartford County, Connecticut",1257,1257,1251,859,248,0,58,0,28,58,0,58,6,4,0,0,0,0,2,0,0,0,1219,21,77,18,26,11,15,1051,"Block Group 3, Census Tract 5242, Hartford County, Connecticut",300,300,300,210,208,12,56,12,44,70,12,70,11,10,12,12,12,12,5,12,12,12,304,33,79,25,43,21,24,304
"G09000305242004","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524200","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 5242, Hartford County, Connecticut",1915,1915,1600,1530,0,0,43,0,0,27,0,27,315,125,0,0,0,0,176,14,14,0,1915,0,176,14,0,28,0,1697,"Block Group 4, Census Tract 5242, Hartford County, Connecticut",268,268,309,311,12,12,54,12,12,45,12,45,267,116,12,12,12,12,249,24,24,12,268,12,249,24,12,46,12,310
"G09000305242005","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524200","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 5242, Hartford County, Connecticut",1152,1152,1117,999,116,0,0,0,0,2,0,2,35,0,0,0,0,0,35,0,0,0,1098,179,95,68,82,48,9,617,"Block Group 5, Census Tract 5242, Hartford County, Connecticut",355,355,341,290,77,12,12,12,12,6,12,6,28,12,12,12,12,12,28,12,12,12,361,141,106,70,96,40,16,127
"G09000305243001","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524300","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 5243, Hartford County, Connecticut",3855,3855,3007,1675,1147,0,19,0,0,166,6,160,848,110,61,28,0,0,507,142,110,32,824,0,19,46,10,57,14,678,"Block Group 1, Census Tract 5243, Hartford County, Connecticut",626,626,487,301,240,12,19,12,12,104,10,104,195,55,48,40,12,12,143,59,56,29,192,12,31,61,16,65,24,196
"G09000305243002","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524300","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 5243, Hartford County, Connecticut",596,596,596,553,0,0,12,0,0,31,0,31,0,0,0,0,0,0,0,0,0,0,596,18,0,8,0,16,0,554,"Block Group 2, Census Tract 5243, Hartford County, Connecticut",122,122,122,108,12,12,18,12,12,48,12,48,12,12,12,12,12,12,12,12,12,12,122,20,12,12,12,25,12,129
"G09000305243003","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524300","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 5243, Hartford County, Connecticut",905,905,825,825,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,905,0,45,14,17,92,0,737,"Block Group 3, Census Tract 5243, Hartford County, Connecticut",211,211,214,214,12,12,12,12,12,12,12,12,76,76,12,12,12,12,12,12,12,12,211,12,36,23,26,94,12,235
"G09000305243004","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524300","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 5243, Hartford County, Connecticut",1363,1363,1354,1128,141,0,48,0,0,37,0,37,9,9,0,0,0,0,0,0,0,0,1363,30,1,8,57,16,35,1216,"Block Group 4, Census Tract 5243, Hartford County, Connecticut",236,236,236,212,149,12,61,12,12,47,12,47,14,14,12,12,12,12,12,12,12,12,236,33,2,13,48,26,50,249
"G09000305244001","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524400","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 5244, Hartford County, Connecticut",1394,1394,1115,26,1089,0,0,0,0,0,0,0,279,92,82,0,0,0,105,0,0,0,1394,149,190,124,145,84,24,678,"Block Group 1, Census Tract 5244, Hartford County, Connecticut",354,354,286,31,288,12,12,12,12,12,12,12,167,90,83,12,12,12,127,12,12,12,354,116,155,129,129,81,27,247
"G09000305244002","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524400","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 5244, Hartford County, Connecticut",1818,1818,1055,15,1040,0,0,0,0,0,0,0,763,393,40,0,0,0,241,89,89,0,1818,258,489,98,154,18,71,730,"Block Group 2, Census Tract 5244, Hartford County, Connecticut",421,421,396,21,394,12,12,12,12,12,12,12,288,216,45,12,12,12,154,101,101,12,421,160,280,73,160,25,100,297
"G09000305245011","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524501","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 5245.01, Hartford County, Connecticut",808,808,605,300,245,0,28,0,9,23,0,23,203,0,9,1,0,0,193,0,0,0,803,53,91,25,20,164,32,418,"Block Group 1, Census Tract 5245.01, Hartford County, Connecticut",290,290,144,123,131,12,26,12,14,37,12,37,286,12,14,8,12,12,285,12,12,12,290,63,75,27,20,124,42,123
"G09000305245012","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524501","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 5245.01, Hartford County, Connecticut",646,646,397,256,63,0,17,0,61,0,0,0,249,31,0,0,0,0,193,25,25,0,646,83,70,81,0,40,0,372,"Block Group 2, Census Tract 5245.01, Hartford County, Connecticut",266,266,186,153,59,12,25,12,95,12,12,12,148,38,12,12,12,12,134,37,37,12,266,135,66,69,12,33,12,195
"G09000305245013","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524501","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 5245.01, Hartford County, Connecticut",987,987,853,397,426,0,8,0,0,22,0,22,134,64,30,0,0,0,40,0,0,0,987,65,95,19,23,0,0,785,"Block Group 3, Census Tract 5245.01, Hartford County, Connecticut",386,386,395,175,372,12,13,12,12,35,12,35,69,30,49,12,12,12,48,12,12,12,386,56,98,22,21,12,12,381
"G09000305245021","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524502","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 5245.02, Hartford County, Connecticut",607,607,495,382,94,0,0,0,0,19,0,19,112,46,18,0,0,0,48,0,0,0,596,42,26,28,0,52,30,418,"Block Group 1, Census Tract 5245.02, Hartford County, Connecticut",142,142,128,116,70,12,12,12,12,22,12,22,84,45,21,12,12,12,75,12,12,12,143,40,24,22,12,68,36,137
"G09000305245022","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524502","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 5245.02, Hartford County, Connecticut",1809,1809,1493,481,960,0,44,0,0,8,0,8,316,254,0,0,0,0,62,0,0,0,1809,128,261,234,44,0,0,1142,"Block Group 2, Census Tract 5245.02, Hartford County, Connecticut",337,337,325,144,292,12,43,12,12,14,12,14,136,133,12,12,12,12,57,12,12,12,337,77,243,248,52,12,12,289
"G09000305246001","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524600","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 5246, Hartford County, Connecticut",916,916,713,50,663,0,0,0,0,0,0,0,203,138,46,0,0,0,19,0,0,0,904,83,171,151,0,82,41,376,"Block Group 1, Census Tract 5246, Hartford County, Connecticut",260,260,238,35,240,12,12,12,12,12,12,12,136,152,57,12,12,12,32,12,12,12,258,86,126,157,12,86,48,199
"G09000305246002","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524600","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 5246, Hartford County, Connecticut",864,864,761,34,209,0,482,0,36,0,0,0,103,43,10,0,0,0,48,2,2,0,854,53,56,9,85,45,0,606,"Block Group 2, Census Tract 5246, Hartford County, Connecticut",165,165,149,35,119,12,126,12,34,12,12,12,80,49,15,12,12,12,67,2,2,12,164,57,32,15,101,67,12,138
"G09000305246003","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524600","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 5246, Hartford County, Connecticut",1128,1128,902,144,712,0,0,0,0,46,0,46,226,71,2,0,0,0,150,3,3,0,1053,57,129,10,74,173,76,534,"Block Group 3, Census Tract 5246, Hartford County, Connecticut",292,292,230,68,218,12,12,12,12,71,12,71,185,68,5,12,12,12,182,5,5,12,294,55,117,14,87,193,104,226
