"","GEOID2_Tex","GEOID","rel_n_2008","rel_n_2016","fac_n_2008","fac_n_2016","rel_diff","fac_diff"
"105",90010502003,"1500000US090010502003",0,0,0,0,0,0
"106",90010502002,"1500000US090010502002",0,0,0,0,0,0
"107",90010218022,"1500000US090010218022",72.91,0,1,0,-72.91,-1
"108",90010218012,"1500000US090010218012",0,0,0,0,0,0
"109",90010218011,"1500000US090010218011",0,0,0,0,0,0
"110",90010219003,"1500000US090010219003",0,0,0,0,0,0
"111",90010219004,"1500000US090010219004",0,0,0,0,0,0
"112",90010219001,"1500000US090010219001",0,0,0,0,0,0
"113",90010219002,"1500000US090010219002",0,0,0,0,0,0
"114",90010604001,"1500000US090010604001",0,0,0,0,0,0
"115",90010604004,"1500000US090010604004",0,0,0,0,0,0
"116",90010604009,"1500000US090010604009",0,0,0,0,0,0
"117",90010604003,"1500000US090010604003",0,0,0,0,0,0
"118",90010605001,"1500000US090010605001",0,0,0,0,0,0
"119",90010354001,"1500000US090010354001",0,0,0,0,0,0
"120",90010354002,"1500000US090010354002",0,0,0,0,0,0
"121",90010354009,"1500000US090010354009",0,0,0,0,0,0
"122",90012201001,"1500000US090012201001",0,0,0,0,0,0
"123",90012201002,"1500000US090012201002",0,0,0,0,0,0
"124",90012201003,"1500000US090012201003",0,0,0,0,0,0
"125",90012202001,"1500000US090012202001",0,0,0,0,0,0
"126",90012202003,"1500000US090012202003",0,0,0,0,0,0
"127",90010728001,"1500000US090010728001",0,0,0,0,0,0
"128",90010728003,"1500000US090010728003",0,0,0,0,0,0
"129",90010729001,"1500000US090010729001",0,0,0,0,0,0
"130",90010729003,"1500000US090010729003",713,0,1,0,-713,-1
"131",90010729002,"1500000US090010729002",0,0,0,0,0,0
"132",90010730001,"1500000US090010730001",0,0,0,0,0,0
"133",90010731002,"1500000US090010731002",0,0,0,0,0,0
"134",90010503001,"1500000US090010503001",0,0,0,0,0,0
"135",90010503005,"1500000US090010503005",0,0,0,0,0,0
"136",90010503002,"1500000US090010503002",0,0,0,0,0,0
"137",90010503004,"1500000US090010503004",0,0,0,0,0,0
"138",90010503003,"1500000US090010503003",0,0,0,0,0,0
"139",90010504002,"1500000US090010504002",0,0,0,0,0,0
"140",90052534001,"1500000US090052534001",0,0,0,0,0,0
"141",90010743002,"1500000US090010743002",0,0,0,0,0,0
"142",90010744001,"1500000US090010744001",10,0,1,1,-10,0
"143",90010904002,"1500000US090010904002",0,0,0,0,0,0
"144",90010904003,"1500000US090010904003",0,0,0,0,0,0
"145",90010905002,"1500000US090010905002",0,0,0,0,0,0
"146",90012051001,"1500000US090012051001",55,116,1,1,61,0
"147",90012051003,"1500000US090012051003",0,0,0,0,0,0
"148",90010220002,"1500000US090010220002",0,0,0,0,0,0
"149",90010220001,"1500000US090010220001",0,0,0,0,0,0
"150",90010218021,"1500000US090010218021",0,0,0,0,0,0
"151",90010221003,"1500000US090010221003",0,0,0,0,0,0
"152",90010221002,"1500000US090010221002",0,0,0,0,0,0
"153",90010221001,"1500000US090010221001",0,0,0,0,0,0
"154",90010606001,"1500000US090010606001",10083.97,2508.32,1,2,-7575.65,1
"155",90010606002,"1500000US090010606002",0,0,0,0,0,0
"156",90010607001,"1500000US090010607001",0,0,0,0,0,0
"157",90010607004,"1500000US090010607004",0,0,0,0,0,0
"158",90010607003,"1500000US090010607003",0,0,0,0,0,0
"159",90010607002,"1500000US090010607002",0,0,0,0,0,0
"160",90012203004,"1500000US090012203004",0,0,0,0,0,0
"161",90012202002,"1500000US090012202002",0,0,0,0,0,0
"162",90012202006,"1500000US090012202006",0,0,0,0,0,0
"163",90012203001,"1500000US090012203001",0,0,0,0,0,0
"164",90012203002,"1500000US090012203002",0,0,0,0,0,0
"165",90012301004,"1500000US090012301004",0,0,1,0,0,-1
"166",90012301001,"1500000US090012301001",0,0,0,0,0,0
"167",90012301002,"1500000US090012301002",0,0,0,0,0,0
"168",90012303001,"1500000US090012303001",0,0,0,0,0,0
"169",90012303002,"1500000US090012303002",0,0,0,0,0,0
"170",90012303003,"1500000US090012303003",0,0,0,0,0,0
"171",90012304004,"1500000US090012304004",0,0,0,0,0,0
"172",90012304003,"1500000US090012304003",0,0,0,0,0,0
"173",90012304001,"1500000US090012304001",0,0,0,0,0,0
"174",90012304002,"1500000US090012304002",0,0,0,0,0,0
"175",90012305001,"1500000US090012305001",0,0,0,0,0,0
"176",90010731003,"1500000US090010731003",0,0,0,0,0,0
"177",90010731001,"1500000US090010731001",0,0,0,0,0,0
"178",90010734003,"1500000US090010734003",0,0,0,0,0,0
"179",90010733002,"1500000US090010733002",0,0,0,0,0,0
"180",90010732002,"1500000US090010732002",0,0,0,0,0,0
"181",90010732001,"1500000US090010732001",0,0,0,0,0,0
