"","GEOID2","GEOID","GEO_label","total.x","under_50","from_50_to_75","from_75_to_99","from_100_to_124","from_125_to_149","from_150_to_174","from_175_to_184","from_185_to_199","from_200_up","below_200","fraction_below_200","over_30_under_200","total.y","not_Hispanic_or_Latino","non_HL_white","non_HL_Black","non_HL_AIAN","non_HL_Asian","non_HL_NHOPI","non_HL_other","non_HL_2_plus","HL","HL_white","HL_Black","HL_AIAN","HL_Asian","HL_NHOPI","HL_other","HL_2_plus","percent_white","percent_Black","percent_HL","percent_AIAN","percent_Asian","percent_NHOPI","percent_other"
"1","090010000000","1500000US090010000000","Block Group 0, Census Tract 0, Fairfield County, Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","090010101011","1500000US090010101011","Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",794,26,17,0,0,0,23,0,0,728,66,0.08312,"no",794,794,748,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0.94207,0,0,0,0.05793,0,0
"3","090010101012","1500000US090010101012","Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",759,7,0,0,14,0,0,0,0,738,21,0.02767,"no",759,759,698,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0.91963,0,0,0,0.08037,0,0
"4","090010101013","1500000US090010101013","Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",1473,12,6,0,0,0,0,58,8,1389,84,0.05703,"no",1484,1446,1415,0,0,0,0,31,0,38,22,0,0,0,0,16,0,0.9535,0,0.02561,0,0,0,0.02089
"5","090010101014","1500000US090010101014","Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",1344,50,0,25,0,7,0,0,6,1256,88,0.06548,"no",1624,1611,1492,5,6,74,0,0,34,13,13,0,0,0,0,0,0,0.91872,0.00308,0.008,0.00369,0.04557,0,0
"6","090010101021","1500000US090010101021","Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",1333,73,0,0,0,13,43,37,0,1167,166,0.12453,"no",1333,1304,1135,40,0,129,0,0,0,29,29,0,0,0,0,0,0,0.85146,0.03001,0.02176,0,0.09677,0,0
"7","090010101022","1500000US090010101022","Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",1568,78,0,0,0,0,0,0,0,1490,78,0.04974,"no",1568,1477,1455,0,0,22,0,0,0,91,48,0,0,0,0,8,35,0.92793,0,0.05804,0,0.01403,0,0
"8","090010101023","1500000US090010101023","Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",1572,27,0,0,12,27,0,0,0,1506,66,0.04198,"no",1575,1477,1443,17,0,0,0,0,17,98,78,0,0,0,0,20,0,0.91619,0.01079,0.06222,0,0,0,0
"9","090010102012","1500000US090010102012","Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",1165,5,0,0,0,17,11,0,23,1109,56,0.04807,"no",1165,1126,1063,0,0,53,0,6,4,39,39,0,0,0,0,0,0,0.91245,0,0.03348,0,0.04549,0,0.00515
"10","090010102013","1500000US090010102013","Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",1131,24,0,6,0,10,18,7,0,1066,65,0.05747,"no",1338,1291,1171,14,0,60,0,0,46,47,24,0,0,0,0,23,0,0.87519,0.01046,0.03513,0,0.04484,0,0
"11","090010102014","1500000US090010102014","Block Group 4, Census Tract 102.01, Fairfield County, Connecticut",932,21,0,0,0,4,13,8,0,886,46,0.04936,"no",932,919,897,0,0,8,0,0,14,13,13,0,0,0,0,0,0,0.96245,0,0.01395,0,0.00858,0,0
"12","090010102021","1500000US090010102021","Block Group 1, Census Tract 102.02, Fairfield County, Connecticut",880,10,0,28,0,0,0,0,0,842,38,0.04318,"no",880,836,788,17,0,20,0,0,11,44,44,0,0,0,0,0,0,0.89545,0.01932,0.05,0,0.02273,0,0
"13","090010102022","1500000US090010102022","Block Group 2, Census Tract 102.02, Fairfield County, Connecticut",3007,61,14,8,34,110,12,0,75,2693,314,0.10442,"no",3007,2904,2598,1,0,277,0,0,28,103,60,0,0,0,0,24,19,0.86398,0.00033,0.03425,0,0.09212,0,0
"14","090010102023","1500000US090010102023","Block Group 3, Census Tract 102.02, Fairfield County, Connecticut",1331,7,0,0,53,10,16,0,0,1245,86,0.06461,"no",1331,1271,1150,12,0,104,0,5,0,60,60,0,0,0,0,0,0,0.86401,0.00902,0.04508,0,0.07814,0,0.00376
"15","090010103001","1500000US090010103001","Block Group 1, Census Tract 103, Fairfield County, Connecticut",733,0,0,0,0,0,0,0,0,733,0,0,"no",733,697,692,0,0,0,0,0,5,36,19,0,0,0,0,0,17,0.94407,0,0.04911,0,0,0,0
"16","090010103002","1500000US090010103002","Block Group 2, Census Tract 103, Fairfield County, Connecticut",1074,10,0,19,0,65,32,0,6,942,132,0.12291,"no",1074,1074,965,0,0,101,0,0,8,0,0,0,0,0,0,0,0,0.89851,0,0,0,0.09404,0,0
"17","090010103003","1500000US090010103003","Block Group 3, Census Tract 103, Fairfield County, Connecticut",710,35,0,0,7,0,0,0,0,668,42,0.05915,"no",710,691,638,0,0,47,0,0,6,19,19,0,0,0,0,0,0,0.89859,0,0.02676,0,0.0662,0,0
"18","090010103004","1500000US090010103004","Block Group 4, Census Tract 103, Fairfield County, Connecticut",731,41,0,0,6,0,0,0,0,684,47,0.0643,"no",731,703,674,0,0,0,0,0,29,28,21,0,0,0,0,7,0,0.92202,0,0.0383,0,0,0,0
"19","090010103005","1500000US090010103005","Block Group 5, Census Tract 103, Fairfield County, Connecticut",872,8,43,0,35,0,0,12,0,774,98,0.11239,"no",872,838,724,0,8,106,0,0,0,34,19,0,0,0,0,15,0,0.83028,0,0.03899,0.00917,0.12156,0,0
"20","090010104001","1500000US090010104001","Block Group 1, Census Tract 104, Fairfield County, Connecticut",902,0,0,8,0,18,15,19,0,842,60,0.06652,"no",902,902,771,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0.85477,0,0,0,0.14523,0,0
"21","090010104002","1500000US090010104002","Block Group 2, Census Tract 104, Fairfield County, Connecticut",1102,22,0,0,58,0,43,0,0,979,123,0.11162,"no",1111,1063,1033,0,0,30,0,0,0,48,37,11,0,0,0,0,0,0.92979,0,0.0432,0,0.027,0,0
"22","090010104003","1500000US090010104003","Block Group 3, Census Tract 104, Fairfield County, Connecticut",1120,0,0,0,0,8,116,0,44,952,168,0.15,"no",1120,1049,987,0,0,0,0,0,62,71,25,0,0,0,0,0,46,0.88125,0,0.06339,0,0,0,0
"23","090010104004","1500000US090010104004","Block Group 4, Census Tract 104, Fairfield County, Connecticut",698,9,0,8,0,9,7,0,0,665,33,0.04728,"no",698,601,601,0,0,0,0,0,0,97,85,0,0,0,0,0,12,0.86103,0,0.13897,0,0,0,0
"24","090010104005","1500000US090010104005","Block Group 5, Census Tract 104, Fairfield County, Connecticut",627,0,0,0,36,10,40,0,0,541,86,0.13716,"no",627,627,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"25","090010104006","1500000US090010104006","Block Group 6, Census Tract 104, Fairfield County, Connecticut",658,9,0,0,9,8,21,0,0,611,47,0.07143,"no",658,606,544,0,0,39,0,0,23,52,52,0,0,0,0,0,0,0.82675,0,0.07903,0,0.05927,0,0
"26","090010105001","1500000US090010105001","Block Group 1, Census Tract 105, Fairfield County, Connecticut",674,25,0,12,9,13,0,0,0,615,59,0.08754,"no",674,639,554,66,0,0,0,5,14,35,22,0,0,0,0,13,0,0.82196,0.09792,0.05193,0,0,0,0.00742
"27","090010105002","1500000US090010105002","Block Group 2, Census Tract 105, Fairfield County, Connecticut",859,85,82,7,15,0,48,0,19,603,256,0.29802,"no",859,734,436,212,0,54,0,0,32,125,11,0,0,0,0,114,0,0.50757,0.2468,0.14552,0,0.06286,0,0
"28","090010105003","1500000US090010105003","Block Group 3, Census Tract 105, Fairfield County, Connecticut",730,26,57,0,12,0,19,11,0,605,125,0.17123,"no",730,623,493,20,0,110,0,0,0,107,93,0,0,0,0,14,0,0.67534,0.0274,0.14658,0,0.15068,0,0
"29","090010105004","1500000US090010105004","Block Group 4, Census Tract 105, Fairfield County, Connecticut",756,36,0,49,4,24,0,9,0,634,122,0.16138,"no",761,580,485,0,0,39,0,45,11,181,114,0,0,0,0,67,0,0.63732,0,0.23784,0,0.05125,0,0.05913
"30","090010105005","1500000US090010105005","Block Group 5, Census Tract 105, Fairfield County, Connecticut",1050,0,0,7,120,22,80,93,133,595,455,0.43333,"yes",1050,848,532,270,0,0,0,0,46,202,160,0,0,0,0,42,0,0.50667,0.25714,0.19238,0,0,0,0
"31","090010105006","1500000US090010105006","Block Group 6, Census Tract 105, Fairfield County, Connecticut",1567,37,4,16,24,59,38,33,26,1330,237,0.15124,"no",1567,1473,1420,53,0,0,0,0,0,94,94,0,0,0,0,0,0,0.90619,0.03382,0.05999,0,0,0,0
"32","090010106001","1500000US090010106001","Block Group 1, Census Tract 106, Fairfield County, Connecticut",637,44,0,45,11,7,14,20,0,496,141,0.22135,"no",644,599,516,37,0,46,0,0,0,45,32,0,0,0,0,13,0,0.80124,0.05745,0.06988,0,0.07143,0,0
"33","090010106002","1500000US090010106002","Block Group 2, Census Tract 106, Fairfield County, Connecticut",461,19,0,0,6,17,0,0,0,419,42,0.09111,"no",461,392,366,0,0,15,0,0,11,69,11,6,0,0,0,16,36,0.79393,0,0.14967,0,0.03254,0,0
"34","090010106003","1500000US090010106003","Block Group 3, Census Tract 106, Fairfield County, Connecticut",930,26,0,0,0,8,18,25,5,848,82,0.08817,"no",930,914,770,16,0,105,0,0,23,16,16,0,0,0,0,0,0,0.82796,0.0172,0.0172,0,0.1129,0,0
"35","090010107001","1500000US090010107001","Block Group 1, Census Tract 107, Fairfield County, Connecticut",822,20,0,0,5,0,0,0,0,797,25,0.03041,"no",822,748,655,0,8,81,0,0,4,74,74,0,0,0,0,0,0,0.79684,0,0.09002,0.00973,0.09854,0,0
"36","090010107003","1500000US090010107003","Block Group 3, Census Tract 107, Fairfield County, Connecticut",1268,91,48,26,99,171,32,18,50,733,535,0.42192,"yes",1268,952,735,129,0,69,0,0,19,316,223,2,6,0,0,65,20,0.57965,0.10174,0.24921,0,0.05442,0,0
"37","090010107004","1500000US090010107004","Block Group 4, Census Tract 107, Fairfield County, Connecticut",674,28,0,0,6,22,0,7,6,605,69,0.10237,"no",674,670,652,12,0,6,0,0,0,4,4,0,0,0,0,0,0,0.96736,0.0178,0.00593,0,0.0089,0,0
"38","090010107006","1500000US090010107006","Block Group 6, Census Tract 107, Fairfield County, Connecticut",1021,40,23,7,56,73,41,0,13,768,253,0.2478,"no",1021,933,865,27,0,16,0,8,17,88,70,0,0,0,0,18,0,0.84721,0.02644,0.08619,0,0.01567,0,0.00784
"39","090010108001","1500000US090010108001","Block Group 1, Census Tract 108, Fairfield County, Connecticut",737,40,6,19,0,68,0,11,0,593,144,0.19539,"no",737,676,576,5,0,95,0,0,0,61,50,0,0,0,0,0,11,0.78155,0.00678,0.08277,0,0.1289,0,0
"40","090010108002","1500000US090010108002","Block Group 2, Census Tract 108, Fairfield County, Connecticut",1084,9,0,0,31,0,0,0,0,1044,40,0.0369,"no",1084,1064,916,0,0,148,0,0,0,20,9,0,0,0,0,11,0,0.84502,0,0.01845,0,0.13653,0,0
"41","090010108003","1500000US090010108003","Block Group 3, Census Tract 108, Fairfield County, Connecticut",926,32,0,0,0,8,8,0,0,878,48,0.05184,"no",926,919,853,0,0,40,0,0,26,7,7,0,0,0,0,0,0,0.92117,0,0.00756,0,0.0432,0,0
"42","090010108004","1500000US090010108004","Block Group 4, Census Tract 108, Fairfield County, Connecticut",639,0,0,0,6,14,0,24,9,586,53,0.08294,"no",639,639,591,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0.92488,0,0,0,0.07512,0,0
"43","090010109001","1500000US090010109001","Block Group 1, Census Tract 109, Fairfield County, Connecticut",1353,39,3,14,7,7,22,5,0,1256,97,0.07169,"no",1353,1239,1108,11,0,120,0,0,0,114,54,0,0,0,0,7,53,0.81892,0.00813,0.08426,0,0.08869,0,0
"44","090010109002","1500000US090010109002","Block Group 2, Census Tract 109, Fairfield County, Connecticut",1521,35,13,0,15,34,20,17,10,1377,144,0.09467,"no",1531,1465,1148,53,0,242,0,0,22,66,66,0,0,0,0,0,0,0.74984,0.03462,0.04311,0,0.15807,0,0
"45","090010109003","1500000US090010109003","Block Group 3, Census Tract 109, Fairfield County, Connecticut",1036,24,34,7,19,7,6,0,6,933,103,0.09942,"no",1036,1001,888,0,0,90,0,9,14,35,35,0,0,0,0,0,0,0.85714,0,0.03378,0,0.08687,0,0.00869
"46","090010109004","1500000US090010109004","Block Group 4, Census Tract 109, Fairfield County, Connecticut",886,4,13,0,11,0,12,19,4,823,63,0.07111,"no",892,853,795,7,0,51,0,0,0,39,39,0,0,0,0,0,0,0.89126,0.00785,0.04372,0,0.05717,0,0
"47","090010110001","1500000US090010110001","Block Group 1, Census Tract 110, Fairfield County, Connecticut",687,7,0,0,16,0,0,0,0,664,23,0.03348,"no",687,677,602,0,0,75,0,0,0,10,10,0,0,0,0,0,0,0.87627,0,0.01456,0,0.10917,0,0
"48","090010110002","1500000US090010110002","Block Group 2, Census Tract 110, Fairfield County, Connecticut",2033,76,0,25,0,75,0,0,20,1837,196,0.09641,"no",2033,1983,1797,38,0,137,0,0,11,50,29,0,11,0,0,10,0,0.88392,0.01869,0.02459,0,0.06739,0,0
"49","090010110004","1500000US090010110004","Block Group 4, Census Tract 110, Fairfield County, Connecticut",920,38,0,38,7,0,0,0,0,837,83,0.09022,"no",920,900,862,0,0,38,0,0,0,20,20,0,0,0,0,0,0,0.93696,0,0.02174,0,0.0413,0,0
"50","090010110005","1500000US090010110005","Block Group 5, Census Tract 110, Fairfield County, Connecticut",815,8,0,0,0,0,0,0,0,807,8,0.00982,"no",815,750,735,8,0,0,0,0,7,65,65,0,0,0,0,0,0,0.90184,0.00982,0.07975,0,0,0,0
"51","090010110006","1500000US090010110006","Block Group 6, Census Tract 110, Fairfield County, Connecticut",688,0,0,0,0,25,0,0,0,663,25,0.03634,"no",688,688,678,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.98547,0,0,0,0.01453,0,0
"52","090010111001","1500000US090010111001","Block Group 1, Census Tract 111, Fairfield County, Connecticut",1389,0,0,0,0,0,0,0,7,1382,7,0.00504,"no",1389,1359,1310,0,0,42,0,0,7,30,30,0,0,0,0,0,0,0.94312,0,0.0216,0,0.03024,0,0
"53","090010111002","1500000US090010111002","Block Group 2, Census Tract 111, Fairfield County, Connecticut",896,26,0,0,14,0,0,0,0,856,40,0.04464,"no",896,851,851,0,0,0,0,0,0,45,40,0,0,0,0,5,0,0.94978,0,0.05022,0,0,0,0
"54","090010111003","1500000US090010111003","Block Group 3, Census Tract 111, Fairfield County, Connecticut",760,0,5,0,13,0,0,0,11,731,29,0.03816,"no",760,741,725,0,0,16,0,0,0,19,19,0,0,0,0,0,0,0.95395,0,0.025,0,0.02105,0,0
"55","090010111004","1500000US090010111004","Block Group 4, Census Tract 111, Fairfield County, Connecticut",1574,27,6,0,5,12,0,0,57,1467,107,0.06798,"no",1576,1514,1320,0,0,142,0,0,52,62,62,0,0,0,0,0,0,0.83756,0,0.03934,0,0.0901,0,0
"56","090010112001","1500000US090010112001","Block Group 1, Census Tract 112, Fairfield County, Connecticut",916,39,0,8,0,6,21,0,0,842,74,0.08079,"no",916,876,840,21,0,15,0,0,0,40,21,0,0,0,0,11,8,0.91703,0.02293,0.04367,0,0.01638,0,0
"57","090010112002","1500000US090010112002","Block Group 2, Census Tract 112, Fairfield County, Connecticut",776,38,25,0,7,4,0,0,0,702,74,0.09536,"no",776,718,718,0,0,0,0,0,0,58,15,0,0,0,0,43,0,0.92526,0,0.07474,0,0,0,0
"58","090010113001","1500000US090010113001","Block Group 1, Census Tract 113, Fairfield County, Connecticut",1528,36,19,22,57,83,9,18,0,1284,244,0.15969,"no",1528,1313,1218,22,0,37,0,18,18,215,163,0,0,9,0,10,33,0.79712,0.0144,0.14071,0,0.02421,0,0.01178
"59","090010113002","1500000US090010113002","Block Group 2, Census Tract 113, Fairfield County, Connecticut",912,20,5,29,87,0,96,16,8,651,261,0.28618,"no",912,622,531,9,0,55,0,0,27,290,100,0,0,0,0,169,21,0.58224,0.00987,0.31798,0,0.06031,0,0
"60","090010113003","1500000US090010113003","Block Group 3, Census Tract 113, Fairfield County, Connecticut",520,13,0,57,5,0,0,9,0,436,84,0.16154,"no",520,456,405,51,0,0,0,0,0,64,64,0,0,0,0,0,0,0.77885,0.09808,0.12308,0,0,0,0
"61","090010201001","1500000US090010201001","Block Group 1, Census Tract 201, Fairfield County, Connecticut",1339,132,37,52,130,21,40,64,7,856,483,0.36072,"yes",1339,1188,786,219,0,105,0,0,78,151,88,0,0,0,0,56,7,0.58701,0.16355,0.11277,0,0.07842,0,0
"62","090010201002","1500000US090010201002","Block Group 2, Census Tract 201, Fairfield County, Connecticut",1312,150,14,61,26,81,74,7,0,899,413,0.31479,"yes",1312,932,424,314,0,107,0,23,64,380,267,14,0,0,0,99,0,0.32317,0.23933,0.28963,0,0.08155,0,0.01753
"63","090010201003","1500000US090010201003","Block Group 3, Census Tract 201, Fairfield County, Connecticut",1227,182,72,134,118,16,105,22,63,515,712,0.58028,"yes",1239,792,240,510,0,24,0,7,11,447,243,0,0,0,9,151,44,0.1937,0.41162,0.36077,0,0.01937,0,0.00565
"64","090010202001","1500000US090010202001","Block Group 1, Census Tract 202, Fairfield County, Connecticut",1658,17,0,50,53,0,79,0,28,1431,227,0.13691,"no",1744,1673,1499,44,0,69,0,0,61,71,65,0,0,0,0,6,0,0.85952,0.02523,0.04071,0,0.03956,0,0
"65","090010202002","1500000US090010202002","Block Group 2, Census Tract 202, Fairfield County, Connecticut",1971,75,0,16,14,0,16,0,16,1834,137,0.06951,"no",1971,1898,1709,145,0,44,0,0,0,73,73,0,0,0,0,0,0,0.86707,0.07357,0.03704,0,0.02232,0,0
"66","090010203001","1500000US090010203001","Block Group 1, Census Tract 203, Fairfield County, Connecticut",1618,14,0,8,0,275,0,0,0,1321,297,0.18356,"no",1618,1531,1442,65,0,0,0,14,10,87,87,0,0,0,0,0,0,0.89122,0.04017,0.05377,0,0,0,0.00865
"67","090010203002","1500000US090010203002","Block Group 2, Census Tract 203, Fairfield County, Connecticut",2560,83,0,0,10,23,39,0,34,2371,189,0.07383,"no",2560,2479,2159,80,0,189,0,41,10,81,49,0,0,0,0,32,0,0.84336,0.03125,0.03164,0,0.07383,0,0.01602
"68","090010203003","1500000US090010203003","Block Group 3, Census Tract 203, Fairfield County, Connecticut",1463,12,0,0,0,48,0,22,0,1381,82,0.05605,"no",1470,1455,1307,49,0,49,0,0,50,15,0,0,0,0,0,0,15,0.88912,0.03333,0.0102,0,0.03333,0,0
"69","090010203004","1500000US090010203004","Block Group 4, Census Tract 203, Fairfield County, Connecticut",1503,7,10,0,24,29,0,0,0,1433,70,0.04657,"no",1627,1621,1529,50,0,42,0,0,0,6,6,0,0,0,0,0,0,0.93977,0.03073,0.00369,0,0.02581,0,0
"70","090010204001","1500000US090010204001","Block Group 1, Census Tract 204, Fairfield County, Connecticut",1265,0,0,0,12,26,0,0,50,1177,88,0.06957,"no",1265,1223,1143,23,0,0,0,11,46,42,31,0,0,0,0,11,0,0.90356,0.01818,0.0332,0,0,0,0.0087
"71","090010204002","1500000US090010204002","Block Group 2, Census Tract 204, Fairfield County, Connecticut",2083,38,13,40,44,38,0,0,41,1869,214,0.10274,"no",2083,2063,1912,41,0,23,0,47,40,20,12,0,0,0,0,8,0,0.91791,0.01968,0.0096,0,0.01104,0,0.02256
"72","090010205001","1500000US090010205001","Block Group 1, Census Tract 205, Fairfield County, Connecticut",1251,0,36,0,0,12,11,0,0,1192,59,0.04716,"no",1251,1207,1114,8,0,0,0,6,79,44,32,0,0,0,0,9,3,0.89049,0.00639,0.03517,0,0,0,0.0048
"73","090010205002","1500000US090010205002","Block Group 2, Census Tract 205, Fairfield County, Connecticut",1092,7,0,22,0,7,7,0,0,1049,43,0.03938,"no",1092,1077,948,7,0,89,24,0,9,15,15,0,0,0,0,0,0,0.86813,0.00641,0.01374,0,0.0815,0.02198,0
"74","090010205003","1500000US090010205003","Block Group 3, Census Tract 205, Fairfield County, Connecticut",2673,19,21,15,0,19,41,31,11,2516,157,0.05874,"no",2764,2653,2468,85,0,55,33,0,12,111,53,11,0,0,0,47,0,0.89291,0.03075,0.04016,0,0.0199,0.01194,0
"75","090010206001","1500000US090010206001","Block Group 1, Census Tract 206, Fairfield County, Connecticut",1648,16,10,17,0,11,0,34,0,1560,88,0.0534,"no",1648,1517,1281,30,0,179,0,0,27,131,81,0,0,0,0,50,0,0.77731,0.0182,0.07949,0,0.10862,0,0
"76","090010206002","1500000US090010206002","Block Group 2, Census Tract 206, Fairfield County, Connecticut",1367,0,0,0,7,15,41,0,0,1304,63,0.04609,"no",1367,1283,1197,68,0,18,0,0,0,84,80,4,0,0,0,0,0,0.87564,0.04974,0.06145,0,0.01317,0,0
"77","090010206003","1500000US090010206003","Block Group 3, Census Tract 206, Fairfield County, Connecticut",1634,43,28,0,19,14,55,6,58,1411,223,0.13647,"no",1647,1564,1411,70,0,58,0,5,20,83,68,0,0,0,0,15,0,0.85671,0.0425,0.05039,0,0.03522,0,0.00304
"78","090010207001","1500000US090010207001","Block Group 1, Census Tract 207, Fairfield County, Connecticut",891,24,7,0,0,7,0,0,0,853,38,0.04265,"no",891,891,853,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0.95735,0,0,0,0.04265,0,0
"79","090010207002","1500000US090010207002","Block Group 2, Census Tract 207, Fairfield County, Connecticut",819,4,7,7,5,8,19,0,9,760,59,0.07204,"no",819,753,659,0,0,49,0,0,45,66,12,0,0,0,0,0,54,0.80464,0,0.08059,0,0.05983,0,0
"80","090010207003","1500000US090010207003","Block Group 3, Census Tract 207, Fairfield County, Connecticut",1366,19,66,36,26,26,9,25,25,1134,232,0.16984,"no",1404,1350,1300,38,0,0,0,0,12,54,54,0,0,0,0,0,0,0.92593,0.02707,0.03846,0,0,0,0
"81","090010207004","1500000US090010207004","Block Group 4, Census Tract 207, Fairfield County, Connecticut",1274,6,0,20,21,6,35,0,33,1153,121,0.09498,"no",1274,1235,1025,74,8,69,0,0,59,39,0,0,0,0,0,39,0,0.80455,0.05808,0.03061,0.00628,0.05416,0,0
"82","090010208001","1500000US090010208001","Block Group 1, Census Tract 208, Fairfield County, Connecticut",872,25,55,0,0,3,0,34,0,755,117,0.13417,"no",872,872,820,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0.94037,0,0,0,0.05963,0,0
"83","090010208002","1500000US090010208002","Block Group 2, Census Tract 208, Fairfield County, Connecticut",836,0,0,18,0,22,8,10,0,778,58,0.06938,"no",862,836,773,0,0,15,0,0,48,26,26,0,0,0,0,0,0,0.89675,0,0.03016,0,0.0174,0,0
"84","090010208003","1500000US090010208003","Block Group 3, Census Tract 208, Fairfield County, Connecticut",949,0,0,0,15,0,13,0,47,874,75,0.07903,"no",949,933,871,45,0,17,0,0,0,16,14,2,0,0,0,0,0,0.91781,0.04742,0.01686,0,0.01791,0,0
"85","090010209001","1500000US090010209001","Block Group 1, Census Tract 209, Fairfield County, Connecticut",1832,0,49,78,30,43,20,0,18,1594,238,0.12991,"no",1840,1621,1332,121,0,150,0,0,18,219,95,20,0,0,0,69,35,0.72391,0.06576,0.11902,0,0.08152,0,0
"86","090010209002","1500000US090010209002","Block Group 2, Census Tract 209, Fairfield County, Connecticut",1200,35,35,14,8,24,35,18,27,1004,196,0.16333,"no",1200,1030,856,70,0,77,0,0,27,170,150,0,0,0,0,20,0,0.71333,0.05833,0.14167,0,0.06417,0,0
"87","090010209003","1500000US090010209003","Block Group 3, Census Tract 209, Fairfield County, Connecticut",1326,17,6,29,0,8,7,0,0,1259,67,0.05053,"no",1326,1300,1256,0,0,35,0,0,9,26,18,0,0,0,0,8,0,0.94721,0,0.01961,0,0.0264,0,0
"88","090010210001","1500000US090010210001","Block Group 1, Census Tract 210, Fairfield County, Connecticut",1087,50,0,25,17,33,30,0,0,932,155,0.14259,"no",1087,957,909,0,12,25,0,0,11,130,120,0,0,0,0,0,10,0.83625,0,0.1196,0.01104,0.023,0,0
"89","090010210002","1500000US090010210002","Block Group 2, Census Tract 210, Fairfield County, Connecticut",2293,7,29,57,9,68,37,24,0,2062,231,0.10074,"no",2293,2074,1797,96,0,125,0,0,56,219,154,0,0,0,0,65,0,0.78369,0.04187,0.09551,0,0.05451,0,0
"90","090010211001","1500000US090010211001","Block Group 1, Census Tract 211, Fairfield County, Connecticut",1847,0,27,100,42,29,21,0,37,1591,256,0.1386,"no",1847,1636,1203,262,0,157,0,14,0,211,108,0,0,0,35,68,0,0.65133,0.14185,0.11424,0,0.085,0,0.00758
"91","090010211002","1500000US090010211002","Block Group 2, Census Tract 211, Fairfield County, Connecticut",2196,83,15,35,25,158,8,0,53,1819,377,0.17168,"no",2205,2129,1770,94,0,196,0,20,49,76,45,0,0,0,0,31,0,0.80272,0.04263,0.03447,0,0.08889,0,0.00907
"92","090010211003","1500000US090010211003","Block Group 3, Census Tract 211, Fairfield County, Connecticut",1464,87,0,0,0,15,149,51,0,1162,302,0.20628,"no",1464,1144,1128,0,0,0,0,0,16,320,38,24,0,0,49,141,68,0.77049,0,0.21858,0,0,0,0
"93","090010212001","1500000US090010212001","Block Group 1, Census Tract 212, Fairfield County, Connecticut",1884,48,36,46,19,65,23,16,14,1617,267,0.14172,"no",1884,1838,1589,150,0,62,0,0,37,46,35,0,0,0,0,11,0,0.84342,0.07962,0.02442,0,0.03291,0,0
"94","090010212002","1500000US090010212002","Block Group 2, Census Tract 212, Fairfield County, Connecticut",1308,60,0,13,5,25,33,0,8,1164,144,0.11009,"no",1308,1247,1022,69,0,112,0,0,44,61,43,0,0,0,0,18,0,0.78135,0.05275,0.04664,0,0.08563,0,0
"95","090010212003","1500000US090010212003","Block Group 3, Census Tract 212, Fairfield County, Connecticut",830,0,0,0,0,0,0,0,18,812,18,0.02169,"no",830,830,755,0,0,54,0,0,21,0,0,0,0,0,0,0,0,0.90964,0,0,0,0.06506,0,0
"96","090010213001","1500000US090010213001","Block Group 1, Census Tract 213, Fairfield County, Connecticut",1136,6,76,15,3,108,33,0,31,864,272,0.23944,"no",1136,879,657,97,0,114,0,7,4,257,163,0,12,0,0,82,0,0.57835,0.08539,0.22623,0,0.10035,0,0.00616
"97","090010213002","1500000US090010213002","Block Group 2, Census Tract 213, Fairfield County, Connecticut",1467,22,0,0,12,28,0,9,55,1341,126,0.08589,"no",1467,1361,1106,186,0,47,0,13,9,106,6,19,0,0,0,81,0,0.75392,0.12679,0.07226,0,0.03204,0,0.00886
"98","090010213003","1500000US090010213003","Block Group 3, Census Tract 213, Fairfield County, Connecticut",1222,13,42,9,35,62,42,40,0,979,243,0.19885,"no",1222,1010,521,440,12,0,0,0,37,212,84,4,0,0,0,124,0,0.42635,0.36007,0.17349,0.00982,0,0,0
"99","090010214001","1500000US090010214001","Block Group 1, Census Tract 214, Fairfield County, Connecticut",1166,150,81,48,188,85,102,108,59,345,821,0.70412,"yes",1283,1157,238,857,0,0,0,0,62,126,26,9,0,0,0,69,22,0.1855,0.66797,0.09821,0,0,0,0
"100","090010214002","1500000US090010214002","Block Group 2, Census Tract 214, Fairfield County, Connecticut",1262,33,7,27,12,200,8,26,25,924,338,0.26783,"no",1272,652,240,412,0,0,0,0,0,620,332,26,0,0,0,198,64,0.18868,0.3239,0.48742,0,0,0,0
