"","GEOID2","GEOID","GEO_label","total.x","under_50","from_50_to_75","from_75_to_99","from_100_to_124","from_125_to_149","from_150_to_174","from_175_to_184","from_185_to_199","from_200_up","below_200","fraction_below_200","over_30_under_200","total.y","not_Hispanic_or_Latino","non_HL_white","non_HL_Black","non_HL_AIAN","non_HL_Asian","non_HL_NHOPI","non_HL_other","non_HL_2_plus","HL","HL_white","HL_Black","HL_AIAN","HL_Asian","HL_NHOPI","HL_other","HL_2_plus","percent_white","percent_Black","percent_HL","percent_AIAN","percent_Asian","percent_NHOPI","percent_other"
"2304","090116962001","1500000US090116962001","Block Group 1, Census Tract 6962, New London County, Connecticut",894,19,6,29,63,17,19,0,21,720,174,0.19463,"no",914,914,805,0,0,72,0,0,37,0,0,0,0,0,0,0,0,0.88074,0,0,0,0.07877,0,0
"2305","090116962003","1500000US090116962003","Block Group 3, Census Tract 6962, New London County, Connecticut",928,50,0,19,16,17,98,0,0,728,200,0.21552,"no",928,878,791,16,32,0,0,0,39,50,4,0,0,0,0,9,37,0.85237,0.01724,0.05388,0.03448,0,0,0
"2306","090116962004","1500000US090116962004","Block Group 4, Census Tract 6962, New London County, Connecticut",1085,0,0,0,7,6,52,37,8,975,110,0.10138,"no",1092,1084,1059,14,0,11,0,0,0,8,8,0,0,0,0,0,0,0.96978,0.01282,0.00733,0,0.01007,0,0
"2307","090116962005","1500000US090116962005","Block Group 5, Census Tract 6962, New London County, Connecticut",1026,6,8,16,0,0,21,0,38,937,89,0.08674,"no",1039,1028,963,6,0,50,0,0,9,11,0,0,0,0,0,0,11,0.92685,0.00577,0.01059,0,0.04812,0,0
"2308","090116963001","1500000US090116963001","Block Group 1, Census Tract 6963, New London County, Connecticut",1125,12,0,7,0,31,39,0,7,1029,96,0.08533,"no",1133,1053,1043,6,0,0,0,0,4,80,9,8,0,0,0,27,36,0.92056,0.0053,0.07061,0,0,0,0
"2309","090116963002","1500000US090116963002","Block Group 2, Census Tract 6963, New London County, Connecticut",1413,6,4,5,31,87,52,35,68,1125,288,0.20382,"no",1522,1496,1424,38,0,14,0,0,20,26,0,0,0,0,0,20,6,0.93561,0.02497,0.01708,0,0.0092,0,0
"2310","090116964001","1500000US090116964001","Block Group 1, Census Tract 6964, New London County, Connecticut",1210,21,30,0,60,59,185,29,35,791,419,0.34628,"yes",1210,1132,913,145,0,60,0,0,14,78,18,0,0,0,0,39,21,0.75455,0.11983,0.06446,0,0.04959,0,0
"2311","090116964002","1500000US090116964002","Block Group 2, Census Tract 6964, New London County, Connecticut",721,42,39,97,18,15,38,0,27,445,276,0.3828,"yes",721,637,443,18,81,11,0,0,84,84,68,0,0,0,0,0,16,0.61442,0.02497,0.1165,0.11234,0.01526,0,0
"2312","090116964003","1500000US090116964003","Block Group 3, Census Tract 6964, New London County, Connecticut",963,102,29,122,0,48,0,0,15,647,316,0.32814,"yes",963,767,632,42,60,0,0,0,33,196,0,154,0,0,0,42,0,0.65628,0.04361,0.20353,0.06231,0,0,0
"2313","090116964005","1500000US090116964005","Block Group 5, Census Tract 6964, New London County, Connecticut",1001,55,118,9,29,6,115,7,0,662,339,0.33866,"yes",1015,977,828,64,0,0,0,76,9,38,38,0,0,0,0,0,0,0.81576,0.06305,0.03744,0,0,0,0.07488
